-46.4571871 -73.6879943 "https://earthobservatory.nasa.gov/Features/WorldOfChange/images/sea_ice_south/spseaice_woc_199909_front.jpg" "Antarctic Sea Ice"  "Because of differences in geography and climate, Antarctica sea ice extent is larger than the Arctic_�fs in winter and smaller in summer. Since 1979, Antarctica_�fs sea ice has increased slightly, but year-to-year fluctuations are large."
65.1999503  -66.910064  "https://earthobservatory.nasa.gov/Features/WorldOfChange/images/sea_ice/npseaice_woc_200003_front.jpg" "Arctic Sea Ice"  "NASA satellites have monitored Arctic sea ice since 1978. Starting in 2002, they observed a sharp decline in sea ice extent."
37.7095511	-122.0768311	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/sierra_nevada/sierranevada_tmo_2006085_thumb.jpg	Snowpack in the Sierra Nevada	"Wet and dry years cause the snow cover to fluctuate, but the overall trend has been downward for nearly a decade."
41.7983127	-70.5882919	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/cape_cod/capecod_1984164_front.jpg	Coastline Change	The shoreline of Cape Cod provides a visual case study in the evolution and dynamic motion of barrier islands and spits.
61.219722	-146.8974667	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/columbia_glacier/columbia_tm5_1986209_thumb.jpg	"Columbia Glacier, Alaska"	"Since 1980, the volume of this glacier that spills into the Prince William Sound has shrunk by half. Climate change may have nudged the process along, but mechanical forces have played the largest role in the ice loss."
45.5086531	58.7571862	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/aral/aralsea_tmo_2000238_front.jpg	Shrinking Aral Sea	"A massive irrigation project has devastated the Aral Sea over the past 50 years. These images show the decline of the Southern Aral Sea in the past decade, as well as the first steps of recovery in the Northern Aral Sea."
37.3898153	-111.5295606	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/lakepowell/lakepowell_19990325_front.jpg	Water Level in Lake Powell	"Combined with human demands, a multi-year drought in the Upper Colorado River Basin caused a dramatic drop in the Colorado River_�fs Lake Powell in the early part of the 2000s. The lake began to recover in the latter part of the decade, but as of 2015, it was still well below capacity."
48.7596128	-113.7892112	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/glacier/glaciernp_tm5_1984230_thumb.jpg	Ice Loss in Glacier National Park	"Shrinking since at least the early 1900s, the ice cover in Glacier National Park is expected to keep declining until only insignificant lumps remain. These images show changes to the park_�fs ice and surrounding landscape since 1984."
29.3742502	-91.3668884	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/wax_lake/waxlake_1984312_front.jpg	Growing Deltas in Atchafalaya Bay	"While the sea overtakes much of the delta plain of the Mississippi River, sediment from the Atchafalaya River is building two new deltas to the west."
46.1914006	-122.1977396	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/sthelens/sthelens_tm5_19840617_front.jpg	Recovery at Mt. St. Helens	The devastation of the May 1980 eruption of Mt. St. Helens and the gradual recovery of the surrounding landscape is documented in this series of satellite images from 1979_�\2015.
-18.8555909	16.327131	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/etosha/etosha_20120605_tn.jpg	Fire in Etosha National Park	Prescribed fires should prevent blazes from raging out of control in one of Namibia_�fs most prized wildlife preserves.
44.427963	-110.5906437	https://earthobservatory.nasa.gov/Features/WorldOfChange/images/yellowstone/yellowstone_19890802_front.jpg	Burn Recovery in Yellowstone	"In 1988, wildfires raced through Yellowstone National Park, consuming hundreds of thousands of acres. This series of Landsat images tracks the landscape_�fs slow recovery through 2011."
